station_cd,station_g_cd,station_name,station_name_k,station_name_r,line_cd,pref_cd,post,address,lon,lat,open_ymd,close_ymd,e_status,e_sort
1110101,1110101,函館,,,11101,1,040-0063,北海道函館市若松町１２-１３,140.726413,41.773709,1902-12-10,0000-00-00,0,1110101
1132601,1130101,東京,,,11326,13,100-0005,東京都千代田区丸の内一丁目,139.766103,35.681391,0000-00-00,0000-00-00,0,1132601
9961803,1160213,新大阪,,,99618,27,532-0011,大阪市淀川区西中島５丁目,135.498558,34.732919,0000-00-00,0000-00-00,0,9961803
9990503,1190101,博多,,,99905,40,812-0012,福岡市博多区博多駅中央街,130.42085,33.590204,0000-00-00,0000-00-00,0,9990503
